Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,10,2019,April,14.6870926,44.90915978,43.03406183,44.14676434
Brooklyn North,BKN02,10,2019,April,19.95018146,34.19402011,57.94703135,41.21369993
Brooklyn North,BKN03,10,2019,April,12.16416133,33.52155672,44.9197311,38.15593656
Brooklyn North,BKN04,10,2019,April,15.54180313,35.21136071,68.51126005,48.75075545
Brooklyn North,BKN05,10,2019,April,10.05184541,22.26543015,45.05179138,31.53012901
Brooklyn North,BKN08,10,2019,April,16.44838382,44.4849922,59.40278854,50.55041394
Brooklyn North,BKN09,10,2019,April,13.96568009,33.9518222,47.86441581,39.23629013
Brooklyn North,BKN16,10,2019,April,9.303515787,20.28999894,35.24596668,26.37094078
Brooklyn North,BKN17,10,2019,April,13.353184,28.44795289,60.75362819,40.71872785
Brooklyn South,BKS06,10,2019,April,28.95129746,46.44228533,82.99323135,57.24411317
Brooklyn South,BKS07,10,2019,April,20.37848342,48.02766674,72.45767078,57.30699859
Brooklyn South,BKS10,10,2019,April,23.76882901,52.58350449,75.44818208,61.26827305
Brooklyn South,BKS11,10,2019,April,18.38334714,45.00126483,64.76652879,52.50877253
Brooklyn South,BKS12,10,2019,April,14.9388304,47.62293431,41.96596302,45.32286828
Brooklyn South,BKS13,10,2019,April,14.34817417,40.96474548,51.48861387,45.56076913
Brooklyn South,BKS14,10,2019,April,14.99616789,38.59031357,57.62660046,45.11652552
Brooklyn South,BKS15,10,2019,April,18.65530423,46.59808026,63.11778886,52.87281759
Brooklyn South,BKS18,10,2019,April,14.7319555,38.53540373,71.6319088,50.30337863
Bronx,BX01,10,2019,April,7.146499015,19.6327944,27.89226033,23.23989963
Bronx,BX02,10,2019,April,13.38783581,33.16471449,60.18469099,44.96498092
Bronx,BX03,10,2019,April,9.804673317,25.0216907,43.13089733,32.93041198
Bronx,BX04,10,2019,April,12.25304098,29.97907445,53.28755647,40.15844296
Bronx,BX05,10,2019,April,11.41526229,27.31600098,52.55805813,38.33980774
Bronx,BX06,10,2019,April,14.12831804,36.42367177,51.85833173,43.1643549
Bronx,BX07,10,2019,April,14.63087044,33.42122281,69.41346789,49.13989234
Bronx,BX08,10,2019,April,21.16178488,43.73027026,84.10095098,57.57055437
Bronx,BX09,10,2019,April,10.0878444,21.98756284,45.73505805,31.64304884
Bronx,BX10,10,2019,April,20.9783161,38.11447957,84.79506585,55.84532605
Bronx,BX11,10,2019,April,16.65947043,34.56442969,61.09051417,44.63992293
Bronx,BX12,10,2019,April,20.58390492,34.01339362,82.41125487,52.39651852
Manhattan,MN01,10,2019,April,28.02464167,46.1858393,78.93183551,54.07249681
Manhattan,MN02,10,2019,April,26.7143806,39.89089219,88.18733162,51.52277153
Manhattan,MN03,10,2019,April,14.10640745,40.99005765,44.86892467,42.68405114
Manhattan,MN04,10,2019,April,23.56723666,34.2263637,78.86483894,44.97724646
Manhattan,MN05,10,2019,April,21.13970765,34.2306406,66.51703103,42.00660508
Manhattan,MN06,10,2019,April,24.00124055,35.35009477,79.22261942,45.91650338
Manhattan,MN07,10,2019,April,27.51218944,41.84174219,86.62666729,52.62789643
Manhattan,MN08,10,2019,April,26.74045542,42.9007772,83.64315819,52.71331132
Manhattan,MN09,10,2019,April,18.50407586,55.79122885,53.43399915,54.76177057
Manhattan,MN10,10,2019,April,14.64921458,40.02892208,58.84238909,48.24521062
Manhattan,MN11,10,2019,April,11.33699896,39.94073205,32.91183434,36.87104523
Manhattan,MN12,10,2019,April,16.38747342,43.8457753,62.04830348,51.79525232
Queens East,QE07,10,2019,April,20.22709972,47.36524383,70.10744096,56.00349022
Queens East,QE08,10,2019,April,16.52762226,27.80503052,56.20203466,36.19714025
Queens East,QE10,10,2019,April,18.9774769,41.32762747,96.08547372,60.79762767
Queens East,QE11,10,2019,April,24.19268786,59.76482414,96.19263666,72.71729699
Queens East,QE12,10,2019,April,13.86667538,35.02656679,68.63101478,50.45402362
Queens East,QE13,10,2019,April,20.04082483,36.48479621,97.59041871,58.21184655
Queens East,QE14,10,2019,April,14.00264421,32.91659647,45.44547708,37.67548398
Queens West,QW01,10,2019,April,19.76973632,49.1006337,78.54644284,60.28513593
Queens West,QW02,10,2019,April,21.0434513,48.98192109,74.35773365,58.62050262
Queens West,QW03,10,2019,April,13.88663534,30.02831253,62.45595714,42.34541551
Queens West,QW04,10,2019,April,14.94322209,33.37711228,65.47071206,45.56733387
Queens West,QW05,10,2019,April,23.29160817,45.5592347,86.92920772,61.27293282
Queens West,QW06,10,2019,April,20.36748583,28.53647027,78.09421649,40.47212705
Queens West,QW09,10,2019,April,21.84574048,39.71753951,78.87263048,54.58995141
Staten Island,SI01,10,2019,April,20.18463739,45.25463276,85.58092128,59.59326913
Staten Island,SI02,10,2019,April,19.33630727,50.63018617,86.64717845,63.43658553
Staten Island,SI03,10,2019,April,19.52824167,52.10643109,90.58977691,65.78978064
Brooklyn North,BKN01,2,2019,August,16.64650888,51.18885935,44.81849521,48.28308234
Brooklyn North,BKN02,2,2019,August,19.36443143,32.50573566,55.94720767,39.41703509
Brooklyn North,BKN03,2,2019,August,12.31752285,35.61046607,40.01842233,37.62111063
Brooklyn North,BKN04,2,2019,August,15.65709991,37.49950863,60.12763639,47.82109968
Brooklyn North,BKN05,2,2019,August,9.994295605,23.48753417,38.91657374,30.52533413
Brooklyn North,BKN08,2,2019,August,15.66918297,46.16312421,49.87882768,47.85800467
Brooklyn North,BKN09,2,2019,August,12.70172552,33.53247396,42.28105889,37.01324093
Brooklyn North,BKN16,2,2019,August,9.675639889,21.86679435,31.95961432,26.47053185
Brooklyn North,BKN17,2,2019,August,13.3489419,27.62728,55.95833234,38.89925048
Brooklyn South,BKS06,2,2019,August,26.69723651,43.12916209,76.3270968,52.91698032
Brooklyn South,BKS07,2,2019,August,19.95217289,44.7005063,65.85177732,53.11588388
Brooklyn South,BKS10,2,2019,August,22.31525303,53.01412509,70.44021118,59.94737719
Brooklyn South,BKS11,2,2019,August,18.49002472,44.74034196,56.68273357,49.49181692
Brooklyn South,BKS12,2,2019,August,15.67725884,50.77890212,38.28924297,45.08187073
Brooklyn South,BKS13,2,2019,August,14.49317769,38.0432584,50.73206755,43.48578062
Brooklyn South,BKS14,2,2019,August,14.21044427,32.72059618,52.48255383,39.13929616
Brooklyn South,BKS15,2,2019,August,19.22117652,46.81084925,57.6486098,51.12282875
Brooklyn South,BKS18,2,2019,August,14.37475391,31.24222838,61.05751472,41.81325959
Bronx,BX01,2,2019,August,6.798061482,17.3016395,26.80057056,21.37594961
Bronx,BX02,2,2019,August,12.85515828,30.53206052,55.22157502,41.12196139
Bronx,BX03,2,2019,August,9.104147668,22.63041504,37.76729591,29.12297155
Bronx,BX04,2,2019,August,11.79593998,26.73611743,50.4101108,36.89043793
Bronx,BX05,2,2019,August,10.9686861,24.03537035,49.80226617,35.08738486
Bronx,BX06,2,2019,August,12.39934402,34.56284236,44.94333708,39.0152754
Bronx,BX07,2,2019,August,14.26857345,31.80538669,64.06736305,45.6432907
Bronx,BX08,2,2019,August,20.95461301,39.74902827,81.47077745,53.30028647
Bronx,BX09,2,2019,August,9.655482015,22.90051528,37.3478138,29.49050402
Bronx,BX10,2,2019,August,21.11451929,38.85781603,73.26479755,52.54719387
Bronx,BX11,2,2019,August,17.09622867,35.06813246,53.47458692,42.39144008
Bronx,BX12,2,2019,August,21.19569723,33.69033797,72.16680816,48.99882814
Manhattan,MN01,2,2019,August,25.67421604,44.30232637,60.49450964,48.66363136
Manhattan,MN02,2,2019,August,24.50854496,39.15865498,70.65554274,47.64222582
Manhattan,MN03,2,2019,August,13.03349209,38.57126256,41.43522721,39.7996829
Manhattan,MN04,2,2019,August,22.37253784,33.00401349,67.28316695,42.23697736
Manhattan,MN05,2,2019,August,19.06025292,31.66566369,51.66078629,37.0512764
Manhattan,MN06,2,2019,August,22.08635253,34.30395772,61.44464268,41.61420137
Manhattan,MN07,2,2019,August,25.80707418,41.40781438,70.757644,49.31308301
Manhattan,MN08,2,2019,August,25.48136577,42.18338743,67.53918295,49.01287767
Manhattan,MN09,2,2019,August,17.14468654,56.52555615,49.16869209,53.37002787
Manhattan,MN10,2,2019,August,13.8912539,35.48912998,54.48834062,43.6383286
Manhattan,MN11,2,2019,August,11.58098098,41.1781757,31.54441885,37.04603571
Manhattan,MN12,2,2019,August,15.37134593,41.46003778,55.98284507,47.689204
Queens East,QE07,2,2019,August,19.70918393,46.08500676,58.40366102,50.98618394
Queens East,QE08,2,2019,August,16.46167084,26.82397468,49.61703931,33.54410276
Queens East,QE10,2,2019,August,18.34646937,34.38789399,77.4919696,49.67047499
Queens East,QE11,2,2019,August,23.81508009,52.04356526,78.31534318,61.35824301
Queens East,QE12,2,2019,August,13.30032809,31.19453431,57.1517911,43.69077222
Queens East,QE13,2,2019,August,22.70318327,32.137058,81.29472921,49.56594567
Queens East,QE14,2,2019,August,14.07329696,31.11243128,41.84855645,35.38397349
Queens West,QW01,2,2019,August,19.6947932,50.25174825,68.19626744,57.3912674
Queens West,QW02,2,2019,August,21.25116919,50.03815899,67.11567167,56.83272548
Queens West,QW03,2,2019,August,13.97592272,30.43091919,56.30738634,40.72629299
Queens West,QW04,2,2019,August,14.78963623,33.91445316,56.99514091,43.0974806
Queens West,QW05,2,2019,August,22.78454896,46.00469783,79.66207012,59.39583143
Queens West,QW06,2,2019,August,20.30543559,30.1288359,64.81635041,39.47179031
Queens West,QW09,2,2019,August,21.22398109,39.63672038,70.70782237,51.99886423
Staten Island,SI01,2,2019,August,19.81685296,38.74928025,69.42659881,49.62594561
Staten Island,SI02,2,2019,August,17.94838925,42.56823469,67.62435074,51.45189865
Staten Island,SI03,2,2019,August,19.33930309,45.36579259,76.07603681,56.25413175
Brooklyn North,BKN01,6,2019,December,16.50322952,52.27313588,46.83914377,50.04692242
Brooklyn North,BKN02,6,2019,December,21.21757576,34.5184734,58.03637274,41.19785725
Brooklyn North,BKN03,6,2019,December,12.36852757,36.41704565,41.98872291,38.69966636
Brooklyn North,BKN04,6,2019,December,16.28088719,39.36048161,69.02119925,51.51196944
Brooklyn North,BKN05,6,2019,December,10.59227868,26.64856472,43.40521402,33.51347684
Brooklyn North,BKN08,6,2019,December,17.1292167,49.72180034,54.96980251,51.87181691
Brooklyn North,BKN09,6,2019,December,14.32826896,32.22860008,46.83348774,37.545202
Brooklyn North,BKN16,6,2019,December,10.80507438,25.92371948,39.04774735,31.30040884
Brooklyn North,BKN17,6,2019,December,14.36493216,28.9413918,59.89813003,40.21054072
Brooklyn South,BKS06,6,2019,December,30.02538119,48.57604676,79.47751881,57.35245959
Brooklyn South,BKS07,6,2019,December,20.61309115,44.9021248,68.80703205,53.60420309
Brooklyn South,BKS10,6,2019,December,25.71923918,55.90230077,72.6258536,61.99015815
Brooklyn South,BKS11,6,2019,December,20.06949684,46.43809373,59.97147189,51.36463518
Brooklyn South,BKS12,6,2019,December,16.28726396,50.35575507,44.79332991,48.07692478
Brooklyn South,BKS13,6,2019,December,14.74932881,45.39107806,45.41474588,45.40172945
Brooklyn South,BKS14,6,2019,December,15.3199946,34.20172165,52.10801786,39.80220837
Brooklyn South,BKS15,6,2019,December,20.39101079,49.36632227,59.91575605,53.20662158
Brooklyn South,BKS18,6,2019,December,16.42488594,33.27202322,62.17452059,42.50876525
Bronx,BX01,6,2019,December,6.970537542,20.36184738,23.35075133,21.70696406
Bronx,BX02,6,2019,December,13.88329624,38.00255905,52.85674973,44.68749104
Bronx,BX03,6,2019,December,8.684253053,25.72965969,30.66964426,27.95283439
Bronx,BX04,6,2019,December,12.02439524,32.11922205,44.45148353,37.66919317
Bronx,BX05,6,2019,December,11.25429281,29.61156358,44.30748081,36.2252667
Bronx,BX06,6,2019,December,13.17303603,33.82873621,41.27231012,37.17861817
Bronx,BX07,6,2019,December,15.21748328,38.27645892,62.06453145,48.98196624
Bronx,BX08,6,2019,December,21.38197934,38.58021629,74.29237177,49.74977643
Bronx,BX09,6,2019,December,10.60383676,25.76117671,44.7731247,33.55004607
Bronx,BX10,6,2019,December,22.22687576,41.69836518,80.95195351,55.98780773
Bronx,BX11,6,2019,December,17.39871194,35.87053596,55.59716713,43.05160079
Bronx,BX12,6,2019,December,20.98028452,34.77840303,73.10362859,48.72989466
Manhattan,MN01,6,2019,December,29.4698382,50.18725293,69.6102145,55.18544006
Manhattan,MN02,6,2019,December,28.52744961,43.78324373,79.2432836,52.90831533
Manhattan,MN03,6,2019,December,14.83693836,44.62390612,40.83644787,42.91941064
Manhattan,MN04,6,2019,December,24.75762745,36.67733382,71.80897517,45.71789734
Manhattan,MN05,6,2019,December,21.42826114,34.89260207,58.36478435,40.9327911
Manhattan,MN06,6,2019,December,25.23272159,38.94167074,70.56388814,47.07914038
Manhattan,MN07,6,2019,December,28.67977101,44.96216678,76.38847378,53.04922203
Manhattan,MN08,6,2019,December,28.40740485,46.98182176,74.14104231,53.97081086
Manhattan,MN09,6,2019,December,19.12744483,58.68040392,49.32089709,54.4682817
Manhattan,MN10,6,2019,December,14.77285998,42.58510907,51.87934091,46.76785514
Manhattan,MN11,6,2019,December,11.62193858,42.19605261,28.8053361,36.16973781
Manhattan,MN12,6,2019,December,16.85611376,48.11243666,55.37937066,51.38282416
Queens East,QE07,6,2019,December,21.56707937,49.97872863,62.89348434,54.68007359
Queens East,QE08,6,2019,December,17.89058308,28.54607479,50.6582173,34.82620575
Queens East,QE10,6,2019,December,20.44083384,36.81004615,76.66182532,49.54599068
Queens East,QE11,6,2019,December,26.06110218,49.15871058,73.60547676,56.9714774
Queens East,QE12,6,2019,December,17.03403654,32.17491435,64.47076596,45.69571638
Queens East,QE13,6,2019,December,22.40473404,30.98075101,82.50607064,47.44735869
Queens East,QE14,6,2019,December,14.50162907,33.90656822,41.12181226,36.53312594
Queens West,QW01,6,2019,December,21.05663408,49.33386043,70.27911357,56.95853894
Queens West,QW02,6,2019,December,21.72834819,48.97199756,67.28387222,55.63805007
Queens West,QW03,6,2019,December,15.52495338,32.44526645,61.36352502,42.97234976
Queens West,QW04,6,2019,December,16.07842603,35.55860437,60.19717491,44.52775734
Queens West,QW05,6,2019,December,24.66377581,49.54820117,82.12101516,61.40564845
Queens West,QW06,6,2019,December,23.47095137,32.02746607,66.4192962,40.87765105
Queens West,QW09,6,2019,December,23.78085206,41.8528019,73.10126228,53.22814613
Staten Island,SI01,6,2019,December,22.1710183,39.48697457,70.34544454,49.34881186
Staten Island,SI02,6,2019,December,20.6802077,43.42031151,68.17100982,51.33020983
Staten Island,SI03,6,2019,December,22.26657313,48.67485666,72.7710537,56.37558761
Brooklyn North,BKN01,8,2019,February,15.86631591,48.30241385,48.16510261,48.24615979
Brooklyn North,BKN02,8,2019,February,20.62731918,33.09636992,60.22855907,40.80225825
Brooklyn North,BKN03,8,2019,February,12.97459912,35.5959477,45.63648058,39.709382
Brooklyn North,BKN04,8,2019,February,15.81547302,37.63140893,67.91827896,50.03942067
Brooklyn North,BKN05,8,2019,February,10.55561305,24.59060332,46.08738996,33.3974685
Brooklyn North,BKN08,8,2019,February,16.98412789,47.00763569,60.56094508,52.56019434
Brooklyn North,BKN09,8,2019,February,13.99801467,31.81322739,45.06310047,36.63656478
Brooklyn North,BKN16,8,2019,February,9.653507349,21.5119895,38.30638675,28.39236631
Brooklyn North,BKN17,8,2019,February,14.15456217,27.51738672,60.76826709,39.6216698
Brooklyn South,BKS06,8,2019,February,29.15717296,44.17426106,85.54468845,55.92399095
Brooklyn South,BKS07,8,2019,February,20.19454281,41.59838919,70.50885009,52.12263392
Brooklyn South,BKS10,8,2019,February,24.33057559,48.27810388,77.52545723,58.92498722
Brooklyn South,BKS11,8,2019,February,18.87729816,42.24309235,62.89665054,49.76158546
Brooklyn South,BKS12,8,2019,February,15.51842511,48.76795199,44.98215613,47.21697629
Brooklyn South,BKS13,8,2019,February,14.44820382,40.38924497,49.04514712,44.28471921
Brooklyn South,BKS14,8,2019,February,15.32787089,32.19446176,56.58394587,39.82267143
Brooklyn South,BKS15,8,2019,February,19.24200676,44.47454009,61.84737982,50.7987567
Brooklyn South,BKS18,8,2019,February,15.65030199,29.84355235,63.2012104,40.50408725
Bronx,BX01,8,2019,February,7.037045284,19.17197647,25.75324138,22.13378767
Bronx,BX02,8,2019,February,13.06718577,34.00120069,51.90950998,42.06059835
Bronx,BX03,8,2019,February,8.979704875,23.65566401,35.31730972,28.90383337
Bronx,BX04,8,2019,February,11.9018802,28.1602749,48.39932465,37.26859147
Bronx,BX05,8,2019,February,10.83657414,25.28501155,46.60705646,34.88071576
Bronx,BX06,8,2019,February,14.41832781,36.26062031,49.52732063,42.23112327
Bronx,BX07,8,2019,February,14.17788468,32.94279493,61.14697049,45.63571099
Bronx,BX08,8,2019,February,20.3263257,35.99115692,81.55078734,50.24067575
Bronx,BX09,8,2019,February,9.886100393,22.26964152,44.26109102,31.2791616
Bronx,BX10,8,2019,February,20.28656849,37.08802616,82.15239015,53.49275928
Bronx,BX11,8,2019,February,16.05683688,32.78504149,56.95123818,41.5822367
Bronx,BX12,8,2019,February,19.05672669,31.00071642,75.20796534,47.09343484
Manhattan,MN01,8,2019,February,27.48262453,44.94199586,69.18516885,51.18058696
Manhattan,MN02,8,2019,February,27.35454408,39.63768288,82.44127672,50.65250012
Manhattan,MN03,8,2019,February,14.78524086,41.5837958,43.38512864,42.39446181
Manhattan,MN04,8,2019,February,23.90456862,33.80811614,73.75589757,44.08803594
Manhattan,MN05,8,2019,February,21.7247699,33.96871934,63.23213573,41.49918943
Manhattan,MN06,8,2019,February,23.70104912,34.46192239,71.96987715,44.11399198
Manhattan,MN07,8,2019,February,27.44776101,41.11548656,77.54320737,50.48957531
Manhattan,MN08,8,2019,February,26.6738029,41.28232411,77.56936797,50.6202119
Manhattan,MN09,8,2019,February,18.36899573,54.7997757,49.93670364,52.61121446
Manhattan,MN10,8,2019,February,14.54825984,38.77728952,54.63333467,45.91309286
Manhattan,MN11,8,2019,February,11.37502662,38.32975904,31.54689766,35.27722202
Manhattan,MN12,8,2019,February,16.5340611,43.46082178,58.32085619,50.14838366
Queens East,QE07,8,2019,February,20.42470296,45.71862699,66.70896069,53.35971613
Queens East,QE08,8,2019,February,17.46772908,28.76161428,54.05185173,35.9443648
Queens East,QE10,8,2019,February,19.65153082,33.02587962,81.405685,48.48723495
Queens East,QE11,8,2019,February,24.84640042,48.67343766,83.63890414,59.84780054
Queens East,QE12,8,2019,February,14.71676711,31.83694198,69.33436965,47.53540698
Queens East,QE13,8,2019,February,21.23305592,30.57139714,89.23444086,49.31909891
Queens East,QE14,8,2019,February,13.16418994,30.12298101,40.54767439,33.9178712
Queens West,QW01,8,2019,February,20.16903201,46.08773788,74.573739,56.45746697
Queens West,QW02,8,2019,February,21.70308522,46.63512855,72.55831926,56.07192045
Queens West,QW03,8,2019,February,14.83123178,29.59323736,62.34496352,41.51581385
Queens West,QW04,8,2019,February,15.30344791,31.7327871,62.23822204,42.83764856
Queens West,QW05,8,2019,February,24.32708414,45.11932112,85.78086682,59.92130092
Queens West,QW06,8,2019,February,21.20255468,29.77656025,71.454238,40.50164107
Queens West,QW09,8,2019,February,22.14691726,39.27287643,75.78344101,52.56377893
Staten Island,SI01,8,2019,February,19.63270997,36.11941525,76.11592746,48.90161398
Staten Island,SI02,8,2019,February,20.61383424,40.67686485,73.68775893,51.22657994
Staten Island,SI03,8,2019,February,21.64600795,43.00809485,81.05558843,55.16742068
Brooklyn North,BKN01,7,2019,January,17.12694338,49.87686733,51.95382045,50.72775944
Brooklyn North,BKN02,7,2019,January,22.50680169,33.98985429,63.78206912,42.4512239
Brooklyn North,BKN03,7,2019,January,13.86100098,38.55840923,49.19242391,42.91498285
Brooklyn North,BKN04,7,2019,January,17.07149448,38.88021257,73.77694505,53.17680598
Brooklyn North,BKN05,7,2019,January,11.68028553,26.96377547,50.65954434,36.67152599
Brooklyn North,BKN08,7,2019,January,19.79884475,51.55332304,66.94207807,57.85783232
Brooklyn North,BKN09,7,2019,January,14.88625672,32.71816837,46.93750161,37.89441732
Brooklyn North,BKN16,7,2019,January,10.07163824,22.69824017,38.03518921,28.98152542
Brooklyn North,BKN17,7,2019,January,15.7045133,29.71622079,67.77387432,43.57030846
Brooklyn South,BKS06,7,2019,January,31.13331599,45.99487532,86.08636899,57.38137169
Brooklyn South,BKS07,7,2019,January,22.21962618,46.53696219,74.808665,56.82868048
Brooklyn South,BKS10,7,2019,January,26.92430485,53.15287128,80.9284197,63.26397502
Brooklyn South,BKS11,7,2019,January,20.92384133,47.17705775,68.33113041,54.87775261
Brooklyn South,BKS12,7,2019,January,16.13545651,49.77469413,47.52869719,48.85454766
Brooklyn South,BKS13,7,2019,January,15.8433444,44.87089268,52.3542399,48.23867409
Brooklyn South,BKS14,7,2019,January,16.43879565,34.57910313,58.80967886,42.1576116
Brooklyn South,BKS15,7,2019,January,20.53694762,46.65515447,66.34556055,53.82303232
Brooklyn South,BKS18,7,2019,January,17.09441646,32.13407378,68.32117546,43.6988503
Bronx,BX01,7,2019,January,8.535327199,24.15638046,29.820364,26.70538131
Bronx,BX02,7,2019,January,13.59685185,32.4637208,55.46055851,42.81314335
Bronx,BX03,7,2019,January,11.05949758,28.67237602,40.28677368,33.89928203
Bronx,BX04,7,2019,January,13.73126955,32.80834596,54.07122976,42.3774255
Bronx,BX05,7,2019,January,12.56667388,29.09603756,51.66116593,39.25117504
Bronx,BX06,7,2019,January,16.33609299,40.91833649,54.26816861,46.92625181
Bronx,BX07,7,2019,January,16.14715303,37.8125147,68.07089818,51.42989985
Bronx,BX08,7,2019,January,23.66626445,41.91414642,89.10722582,56.67455311
Bronx,BX09,7,2019,January,11.40081657,23.96436634,47.84758293,33.74891098
Bronx,BX10,7,2019,January,22.01519267,39.63183152,87.44087586,57.03570775
Bronx,BX11,7,2019,January,18.76514921,34.72107562,60.17179608,43.98587468
Bronx,BX12,7,2019,January,21.20569489,34.27029284,81.71217406,51.54051106
Manhattan,MN01,7,2019,January,29.05448623,45.63708867,70.34082271,51.99419776
Manhattan,MN02,7,2019,January,29.8148803,41.98223192,85.8416958,53.26876035
Manhattan,MN03,7,2019,January,15.28539049,42.93464157,42.75406054,42.85337347
Manhattan,MN04,7,2019,January,24.53964971,34.24061646,72.82176972,44.16885645
Manhattan,MN05,7,2019,January,24.06372368,36.32793949,68.16401861,44.52044301
Manhattan,MN06,7,2019,January,24.5142334,34.51262401,72.02942332,44.16696961
Manhattan,MN07,7,2019,January,28.98421073,41.33155293,80.85673336,51.50272315
